index_code,trade_date,con_code,weight,asof_date
000905.SH,20141231,601099.SH,1.26,20150101
000905.SH,20141231,300059.SZ,0.85,20150101
000905.SH,20141231,300168.SZ,0.57,20150101
000905.SH,20141231,600169.SH,0.53,20150101
000905.SH,20141231,600266.SH,0.53,20150101
000905.SH,20141231,600881.SH,0.51,20150101
000905.SH,20141231,600694.SH,0.51,20150101
000905.SH,20141231,000998.SZ,0.49,20150101
000905.SH,20141231,600755.SH,0.47,20150101
000905.SH,20141231,600410.SH,0.47,20150101
000905.SH,20141231,600879.SH,0.47,20150101
000905.SH,20141231,600820.SH,0.47,20150101
000905.SH,20141231,000748.SZ,0.46,20150101
000905.SH,20141231,600811.SH,0.46,20150101
000905.SH,20141231,600320.SH,0.44,20150101
000905.SH,20141231,000712.SZ,0.44,20150101
000905.SH,20141231,600158.SH,0.43,20150101
000905.SH,20141231,601872.SH,0.43,20150101
000905.SH,20141231,000012.SZ,0.42,20150101
000905.SH,20141231,600645.SH,0.41,20150101
000905.SH,20141231,600187.SH,0.4,20150101
000905.SH,20141231,600528.SH,0.4,20150101
000905.SH,20141231,600635.SH,0.4,20150101
000905.SH,20141231,600418.SH,0.39,20150101
000905.SH,20141231,600643.SH,0.38,20150101
000905.SH,20141231,600499.SH,0.37,20150101
000905.SH,20141231,600895.SH,0.37,20150101
000905.SH,20141231,000997.SZ,0.37,20150101
000905.SH,20141231,600219.SH,0.37,20150101
000905.SH,20141231,600601.SH,0.37,20150101
000905.SH,20141231,600525.SH,0.36,20150101
000905.SH,20141231,000977.SZ,0.36,20150101
000905.SH,20141231,600312.SH,0.36,20150101
000905.SH,20141231,000528.SZ,0.36,20150101
000905.SH,20141231,600201.SH,0.36,20150101
000905.SH,20141231,600967.SH,0.35,20150101
000905.SH,20141231,000897.SZ,0.35,20150101
000905.SH,20141231,601718.SH,0.35,20150101
000905.SH,20141231,600433.SH,0.35,20150101
000905.SH,20141231,000511.SZ,0.34,20150101
000905.SH,20141231,002405.SZ,0.34,20150101
000905.SH,20141231,600816.SH,0.34,20150101
000905.SH,20141231,600490.SH,0.34,20150101
000905.SH,20141231,600522.SH,0.33,20150101
000905.SH,20141231,600376.SH,0.33,20150101
000905.SH,20141231,600037.SH,0.33,20150101
000905.SH,20141231,600737.SH,0.33,20150101
000905.SH,20141231,601002.SH,0.33,20150101
000905.SH,20141231,000661.SZ,0.33,20150101
000905.SH,20141231,300253.SZ,0.33,20150101
000905.SH,20141231,600435.SH,0.33,20150101
000905.SH,20141231,600317.SH,0.33,20150101
000905.SH,20141231,600511.SH,0.32,20150101
000905.SH,20141231,600787.SH,0.32,20150101
000905.SH,20141231,600765.SH,0.32,20150101
000905.SH,20141231,002266.SZ,0.32,20150101
000905.SH,20141231,002183.SZ,0.32,20150101
000905.SH,20141231,600587.SH,0.32,20150101
000905.SH,20141231,600584.SH,0.32,20150101
