ts_code,trade_date,close,pre_close,vol,amount
002129.SZ,20260213,10.32,10.76,1999966.3,2096243.452
002129.SZ,20260212,10.76,10.98,2529651.0,2726913.396
002129.SZ,20260211,10.98,11.3,3703718.24,4167990.579
002129.SZ,20260210,11.3,11.679999999999998,4804042.78,5548143.418
002129.SZ,20260209,11.679999999999998,10.62,4324673.39,4943860.659
002129.SZ,20260206,10.62,10.74,3816637.11,4045657.463
002129.SZ,20260205,10.74,10.57,5828700.09,6227009.329
002129.SZ,20260204,10.57,9.61,3979559.61,4042202.323
002129.SZ,20260203,9.61,9.24,1806915.98,1724198.936
002129.SZ,20260202,9.24,9.41,1575469.17,1479770.23
002129.SZ,20260130,9.41,9.81,2685412.81,2521398.686
002129.SZ,20260129,9.81,9.26,3642843.75,3602341.675
002129.SZ,20260128,9.26,9.4,1081887.76,1004762.257
002129.SZ,20260127,9.4,9.3,1724943.63,1594827.967
002129.SZ,20260126,9.3,9.75,1792182.18,1687591.83
002129.SZ,20260123,9.75,9.04,2733058.43,2601891.118
002129.SZ,20260122,9.04,8.85,1277550.35,1149100.764
002129.SZ,20260121,8.85,8.7,926018.74,816376.457
002129.SZ,20260120,8.7,8.97,1137012.73,995886.473
002129.SZ,20260119,8.97,8.84,1202735.99,1068885.529
002129.SZ,20260116,8.84,8.7,1207621.87,1058920.601
002129.SZ,20260115,8.7,8.73,948932.34,822503.818
002129.SZ,20260114,8.73,8.83,1577023.08,1391956.319
002129.SZ,20260113,8.83,9.13,1380352.75,1228148.447
002129.SZ,20260112,9.13,8.86,1682889.88,1531738.436
002129.SZ,20260109,8.86,9.1,1324027.23,1182625.068
002129.SZ,20260108,9.1,8.97,1066553.89,971326.181
002129.SZ,20260107,8.97,8.97,875014.21,783076.23
002129.SZ,20260106,8.97,8.73,1030125.2,914844.617
002129.SZ,20260105,8.73,8.57,713230.47,619313.354
002129.SZ,20251231,8.57,8.66,550683.92,474930.183
002129.SZ,20251230,8.66,8.82,695519.7,605107.618
002129.SZ,20251229,8.82,8.81,952508.32,841847.872
002129.SZ,20251226,8.81,8.55,1741155.7,1550863.007
002129.SZ,20251225,8.55,8.52,536474.8,456440.448
002129.SZ,20251224,8.52,8.39,723049.67,612964.189
002129.SZ,20251223,8.39,8.41,594061.13,499002.799
002129.SZ,20251222,8.41,8.34,693350.47,584585.285
002129.SZ,20251219,8.34,8.27,737152.21,616613.754
002129.SZ,20251218,8.27,8.37,526330.1,438421.301
002129.SZ,20251217,8.37,8.28,622783.93,516695.028
002129.SZ,20251216,8.28,8.43,821719.18,677981.093
002129.SZ,20251215,8.43,8.56,920536.08,778931.869
002129.SZ,20251212,8.56,8.53,1582882.36,1349903.26
002129.SZ,20251211,8.53,8.77,748865.42,647519.746
002129.SZ,20251210,8.77,9.0,910321.06,798064.61
002129.SZ,20251209,9.0,8.9,876669.6,776374.338
002129.SZ,20251208,8.9,8.87,579772.94,515534.276
002129.SZ,20251205,8.87,8.76,527062.69,464760.764
002129.SZ,20251204,8.76,8.9,560748.67,492818.068
002129.SZ,20251203,8.9,8.95,656931.59,585297.843
002129.SZ,20251202,8.95,9.27,922321.24,832013.995
002129.SZ,20251201,9.27,9.39,1290683.22,1189490.769
002129.SZ,20251128,9.39,9.29,772777.92,724143.626
002129.SZ,20251127,9.29,9.27,898943.29,838974.379
002129.SZ,20251126,9.27,9.27,832362.32,777654.725
002129.SZ,20251125,9.27,9.26,966453.54,901276.548
002129.SZ,20251124,9.26,9.29,988928.83,913458.347
002129.SZ,20251121,9.29,9.97,1543772.31,1466725.991
002129.SZ,20251120,9.97,10.44,1456063.84,1479401.285
002129.SZ,20251119,10.44,10.41,1618622.85,1667569.441
002129.SZ,20251118,10.41,10.75,1607748.62,1681369.487
002129.SZ,20251117,10.75,10.91,1950516.01,2090382.694
002129.SZ,20251114,10.91,10.53,3265466.45,3582189.558
002129.SZ,20251113,10.53,10.34,2092504.87,2203715.218
002129.SZ,20251112,10.34,10.75,2671076.59,2747929.012
002129.SZ,20251111,10.75,10.82,2589490.38,2800549.781
002129.SZ,20251110,10.82,10.06,4301251.07,4608450.074
002129.SZ,20251107,10.06,9.77,3092927.86,3122208.448
002129.SZ,20251106,9.77,9.73,1387666.94,1351222.933
002129.SZ,20251105,9.73,9.49,1748401.23,1685569.341
002129.SZ,20251104,9.49,9.72,1116434.11,1069261.418
002129.SZ,20251103,9.72,9.46,1452459.26,1396286.777
002129.SZ,20251031,9.46,9.51,1541481.18,1489352.745
002129.SZ,20251030,9.51,9.58,2214198.5,2122166.602
002129.SZ,20251029,9.58,8.98,2692362.94,2524402.136
