ts_code,trade_date,close,pre_close,vol,amount
600089.SH,20260213,28.75,28.92,1999256.29,5744209.075
600089.SH,20260212,28.92,27.75,3273039.46,9380343.911
600089.SH,20260211,27.75,27.84,1307649.64,3639639.489
600089.SH,20260210,27.84,28.07,1364762.34,3799026.272
600089.SH,20260209,28.07,27.55,2066571.47,5762137.538
600089.SH,20260206,27.55,27.63,1900722.98,5280881.628
600089.SH,20260205,27.63,29.1,2777603.03,7751711.688
600089.SH,20260204,29.1,29.3,2833556.68,8220231.766
600089.SH,20260203,29.3,28.35,4520505.48,13015768.173
600089.SH,20260202,28.35,27.2,5427868.29,15599904.591
600089.SH,20260130,27.2,27.7,2683874.12,7258640.795
600089.SH,20260129,27.7,28.06,3164592.87,8822298.744
600089.SH,20260128,28.06,28.3,3138698.53,8850770.348
600089.SH,20260127,28.3,29.07,4407567.34,12275234.843
600089.SH,20260126,29.07,28.549999999999997,5925371.86,17477477.938
600089.SH,20260123,28.549999999999997,28.9,5768048.24,16727641.726
600089.SH,20260122,28.9,29.6,4376742.24,12808056.291
600089.SH,20260121,29.6,30.78,5332923.88,15972682.926
600089.SH,20260120,30.78,30.5,8515238.07,26285026.297
600089.SH,20260119,30.5,27.73,7430417.22,21877901.955
600089.SH,20260116,27.73,28.49,7866625.32,22951855.451
600089.SH,20260115,28.49,26.83,6072589.4,16668546.973
600089.SH,20260114,26.83,27.37,9437878.11,26716301.971
600089.SH,20260113,27.37,24.88,4602029.61,11912695.024
600089.SH,20260112,24.88,24.94,3317510.59,8302892.014
600089.SH,20260109,24.94,24.05,3114559.1,7778074.033
600089.SH,20260108,24.05,24.19,2233352.73,5396609.288
600089.SH,20260107,24.19,23.53,2586891.63,6257483.269
600089.SH,20260106,23.53,22.88,2127642.82,4987441.426
600089.SH,20260105,22.88,22.22,1791202.89,4116878.416
600089.SH,20251231,22.22,22.6,1239906.2,2770222.002
600089.SH,20251230,22.6,22.710000000000004,1109480.62,2504621.289
600089.SH,20251229,22.710000000000004,23.459999999999997,1717265.44,3926056.071
600089.SH,20251226,23.459999999999997,23.13,2044516.92,4790561.522
600089.SH,20251225,23.13,23.12,1428895.3,3314802.759
600089.SH,20251224,23.12,22.99,1805221.98,4152804.245
600089.SH,20251223,22.99,22.46,1839073.72,4160226.672
600089.SH,20251222,22.46,21.88,1526084.61,3408134.056
600089.SH,20251219,21.88,21.620000000000005,921489.05,2018712.789
600089.SH,20251218,21.620000000000005,22.27,1252826.35,2730797.619
600089.SH,20251217,22.27,22.019999999999996,1616748.86,3553475.523
600089.SH,20251216,22.019999999999996,23.27,2321576.27,5171407.253
600089.SH,20251215,23.27,23.81,3014751.95,7137185.327
600089.SH,20251212,23.81,22.34,4082706.46,9538012.448
600089.SH,20251211,22.34,21.980000000000004,2849681.65,6454123.907
600089.SH,20251210,21.980000000000004,22.4,1539769.14,3363877.26
600089.SH,20251209,22.4,22.16,1998060.14,4457130.744
600089.SH,20251208,22.16,21.99,1542222.31,3408771.202
600089.SH,20251205,21.99,21.5,1539318.14,3365627.792
600089.SH,20251204,21.5,21.52,917071.84,1963501.25
600089.SH,20251203,21.52,21.76,1130255.82,2451381.374
600089.SH,20251202,21.76,22.23,1140274.26,2484335.112
600089.SH,20251201,22.23,21.8,1956935.99,4357703.497
600089.SH,20251128,21.8,21.38,1590140.34,3432622.958
600089.SH,20251127,21.38,21.88,2037803.2,4460844.014
600089.SH,20251126,21.88,22.07,1727032.63,3787084.552
600089.SH,20251125,22.07,21.52,2240356.77,4949889.418
600089.SH,20251124,21.52,21.42,1849630.78,3991122.859
600089.SH,20251121,21.42,23.21,3204994.56,7024304.507
600089.SH,20251120,23.21,23.03,2935795.17,6868318.595
600089.SH,20251119,23.03,22.79,2472191.24,5676728.302
600089.SH,20251118,22.79,23.2,1985588.7,4557565.54
600089.SH,20251117,23.2,23.66,2556097.96,5964307.396
600089.SH,20251114,23.66,24.94,3566699.0,8548123.979
600089.SH,20251113,24.94,24.41,3865308.73,9631561.187
600089.SH,20251112,24.41,25.270000000000003,4233682.73,10376589.015
600089.SH,20251111,25.270000000000003,26.349999999999998,4863000.91,12526995.094
600089.SH,20251110,26.349999999999998,26.5,6105860.42,16135643.82
600089.SH,20251107,26.5,25.44,7064543.7,18239444.222
600089.SH,20251106,25.44,24.11,8399517.42,21487579.431
600089.SH,20251105,24.11,21.92,4477396.86,10249509.439
600089.SH,20251104,21.92,21.54,4889979.25,10830248.468
600089.SH,20251103,21.54,19.58,4164232.95,8661769.919
600089.SH,20251031,19.58,20.75,3357216.19,6691952.589
600089.SH,20251030,20.75,20.9,2846762.26,5949985.764
600089.SH,20251029,20.9,19.19,4461870.81,9146816.842
600089.SH,20251028,19.19,19.5,1343401.46,2587701.565
600089.SH,20251027,19.5,19.0,2049277.05,3988988.512
600089.SH,20251024,19.0,18.82,1345757.17,2546176.373
600089.SH,20251023,18.82,18.99,1563818.33,2908944.655
600089.SH,20251022,18.99,19.87,2322829.12,4432171.803
600089.SH,20251021,19.87,19.27,3025556.33,6037575.011
600089.SH,20251020,19.27,18.89,2435298.58,4762141.763
600089.SH,20251017,18.89,20.07,2755528.28,5332485.183
600089.SH,20251016,20.07,19.87,2927167.56,5865916.06
600089.SH,20251015,19.87,20.08,3097606.04,6009494.974
600089.SH,20251014,20.08,19.71,3608653.39,7310286.521
600089.SH,20251013,19.71,19.63,3272000.16,6329505.928
600089.SH,20251010,19.63,19.58,4346266.61,8650927.614
600089.SH,20251009,19.58,17.8,2297144.94,4450049.9
600089.SH,20250930,17.8,16.95,2733279.87,4824834.818
600089.SH,20250929,16.95,16.19,2416240.93,4045666.896
600089.SH,20250926,16.19,16.22,1628397.07,2666098.385
600089.SH,20250925,16.22,16.2,1454654.54,2363049.609
600089.SH,20250924,16.2,16.32,1801390.97,2883768.712
600089.SH,20250923,16.32,16.1,2291458.86,3738115.351
600089.SH,20250922,16.1,16.38,1730344.78,2788155.447
600089.SH,20250919,16.38,15.77,2992457.81,4831734.539
600089.SH,20250918,15.77,16.15,3280638.52,5216738.009
600089.SH,20250917,16.15,14.68,3676896.86,5770705.36
600089.SH,20250916,14.68,14.86,1015632.45,1487930.867
600089.SH,20250915,14.86,14.83,1193258.58,1781326.99
600089.SH,20250912,14.83,14.9,963231.23,1427650.515
600089.SH,20250911,14.9,14.51,1163656.16,1723004.334
600089.SH,20250910,14.51,14.75,955680.66,1389242.633
600089.SH,20250909,14.75,15.09,1032936.29,1533495.819
600089.SH,20250908,15.09,15.07,1681950.88,2545650.905
600089.SH,20250905,15.07,14.17,2652650.39,3926936.651
600089.SH,20250904,14.17,14.43,1279167.04,1833299.875
600089.SH,20250903,14.43,14.34,913036.72,1303870.626
600089.SH,20250902,14.34,14.72,1292730.64,1878568.63
600089.SH,20250901,14.72,14.16,1739034.01,2549866.339
600089.SH,20250829,14.16,14.21,746796.22,1060349.758
600089.SH,20250828,14.21,14.090000000000002,1061544.71,1500377.592
600089.SH,20250827,14.090000000000002,14.54,1423341.4,2042898.435
600089.SH,20250826,14.54,14.43,1347142.67,1952421.642
600089.SH,20250825,14.43,14.22,1570633.4,2246841.243
600089.SH,20250822,14.22,14.22,1292548.29,1827367.541
600089.SH,20250821,14.22,13.47,2665641.54,3784982.9
600089.SH,20250820,13.47,13.4,756846.61,1014497.063
600089.SH,20250819,13.4,13.6,1305131.06,1781510.811
600089.SH,20250818,13.6,13.52,825669.85,1126732.627
600089.SH,20250815,13.52,13.36,648164.23,875514.728
600089.SH,20250814,13.36,13.63,814957.08,1096185.783
600089.SH,20250813,13.63,13.66,665145.49,907483.524
600089.SH,20250812,13.66,13.89,872442.99,1196099.153
600089.SH,20250811,13.89,13.56,1427635.66,1978130.192
600089.SH,20250808,13.56,13.42,789116.65,1064729.881
600089.SH,20250807,13.42,13.4,695061.02,927712.641
600089.SH,20250806,13.4,13.35,495976.56,664095.986
600089.SH,20250805,13.35,13.33,501035.16,668833.853
600089.SH,20250804,13.33,13.4,533197.2,708402.912
600089.SH,20250801,13.4,13.51,526689.64,709595.982
600089.SH,20250731,13.51,13.84,970592.97,1319057.789
600089.SH,20250730,13.84,14.02,900841.79,1256922.09
600089.SH,20250729,14.02,13.84,1276591.73,1766880.259
600089.SH,20250728,13.84,14.03,1193277.38,1654656.694
600089.SH,20250725,14.03,14.39,1729359.26,2451532.431
600089.SH,20250724,14.39,14.25,2491496.19,3552201.962
600089.SH,20250723,14.25,14.44,4544126.13,6715942.465
600089.SH,20250722,14.44,13.13,3637317.05,5005193.497
600089.SH,20250721,13.13,12.3,2304783.08,2988836.42
600089.SH,20250718,12.3,12.26,357892.49,441493.676
600089.SH,20250717,12.26,12.15,337247.38,412526.695
600089.SH,20250716,12.15,12.18,326464.98,397043.043
600089.SH,20250715,12.18,12.270000000000001,387181.64,474013.613
600089.SH,20250714,12.270000000000001,12.2,450229.32,555572.676
600089.SH,20250711,12.2,12.2,448463.77,549762.928
600089.SH,20250710,12.2,12.209995769260354,566003.2,692965.425
600089.SH,20250709,12.209995769260354,12.347186732959909,509534.2,638031.096
600089.SH,20250708,12.347186732959909,11.994409969161055,971139.03,1213947.841
600089.SH,20250707,11.994409969161055,11.925814487311278,410284.24,504342.916
600089.SH,20250704,11.925814487311278,11.886617069111406,330501.09,402948.065
600089.SH,20250703,11.886617069111406,12.043406741910895,511404.03,622666.636
600089.SH,20250702,12.043406741910895,11.680830623562073,948915.46,1154973.086
600089.SH,20250701,11.680830623562073,11.69062997811204,230618.38,274951.814
600089.SH,20250630,11.69062997811204,11.641633205362202,299764.74,357041.578
600089.SH,20250627,11.641633205362202,11.48484353256271,454610.29,538752.157
600089.SH,20250626,11.48484353256271,11.524040950762581,197507.01,231670.913
600089.SH,20250625,11.524040950762581,11.435846759812868,268511.19,314640.444
600089.SH,20250624,11.435846759812868,11.288856441563345,235023.66,273486.459
600089.SH,20250623,11.288856441563345,11.230060314263538,154252.82,177362.819
600089.SH,20250620,11.230060314263538,11.279057087013376,180508.71,207663.717
600089.SH,20250619,11.279057087013376,11.435846759812868,246524.04,285030.487
600089.SH,20250618,11.435846759812868,11.465244823462774,139570.6,163097.0
600089.SH,20250617,11.465244823462774,11.416248050712932,176210.33,205722.389
600089.SH,20250616,11.416248050712932,11.406448696162965,154368.53,179634.812
600089.SH,20250613,11.406448696162965,11.475044178012743,216448.57,252451.473
600089.SH,20250612,11.475044178012743,11.455445468912805,162449.33,189674.479
600089.SH,20250611,11.455445468912805,11.386849987063027,181596.33,212360.293
600089.SH,20250610,11.386849987063027,11.475044178012743,235517.56,274919.921
600089.SH,20250609,11.475044178012743,11.465244823462774,189015.42,221256.478
600089.SH,20250606,11.465244823462774,11.475044178012743,154718.56,181107.916
600089.SH,20250605,11.475044178012743,11.465244823462774,190127.75,222964.196
600089.SH,20250604,11.465244823462774,11.445646114362836,150835.58,176520.65
600089.SH,20250603,11.445646114362836,11.37705063251306,220302.88,255295.802
600089.SH,20250530,11.37705063251306,11.455445468912805,154616.36,179777.653
600089.SH,20250529,11.455445468912805,11.37705063251306,160891.51,187809.312
600089.SH,20250528,11.37705063251306,11.4260474052629,142478.3,165778.02
600089.SH,20250527,11.4260474052629,11.465244823462774,150199.79,174749.57
600089.SH,20250526,11.465244823462774,11.475044178012743,155662.02,182062.807
600089.SH,20250523,11.475044178012743,11.592636432612359,173627.41,204881.549
600089.SH,20250522,11.592636432612359,11.661231914462137,142830.85,169261.92
600089.SH,20250521,11.661231914462137,11.661231914462137,183799.6,219243.028
600089.SH,20250520,11.661231914462137,11.69062997811204,157995.8,188025.667
600089.SH,20250519,11.69062997811204,11.671031269012104,203760.41,242964.45
600089.SH,20250516,11.671031269012104,11.631833850812232,185296.55,220080.687
600089.SH,20250515,11.631833850812232,11.739626750861882,220349.58,261990.763
600089.SH,20250514,11.739626750861882,11.720028041761946,315304.54,375710.497
600089.SH,20250513,11.720028041761946,11.504442241662646,705374.4,845754.882
600089.SH,20250512,11.504442241662646,11.386849987063027,251487.52,294126.681
600089.SH,20250509,11.386849987063027,11.475044178012743,173177.74,201661.651
600089.SH,20250508,11.475044178012743,11.465244823462774,217841.24,255310.589
600089.SH,20250507,11.465244823462774,11.4260474052629,320815.33,374629.751
600089.SH,20250506,11.4260474052629,11.298655796113314,291719.43,339465.095
600089.SH,20250430,11.298655796113314,11.279057087013376,126383.75,145871.325
600089.SH,20250429,11.279057087013376,11.308455150663281,138835.23,159876.219
600089.SH,20250428,11.308455150663281,11.347652568863156,182629.85,211401.144
600089.SH,20250425,11.347652568863156,11.337853214313187,154940.48,179258.132
600089.SH,20250424,11.337853214313187,11.37705063251306,171746.7,199043.49
600089.SH,20250423,11.37705063251306,11.455445468912805,243815.42,283484.509
600089.SH,20250422,11.455445468912805,11.347652568863156,305616.69,357216.483
600089.SH,20250421,11.347652568863156,11.347652568863156,141587.31,163856.714
600089.SH,20250418,11.347652568863156,11.435846759812868,165886.09,191858.947
600089.SH,20250417,11.435846759812868,11.49464288711268,290996.83,338146.751
600089.SH,20250416,11.49464288711268,11.220260959713567,358310.43,411436.057
600089.SH,20250415,11.220260959713567,11.279057087013376,226197.9,258426.614
600089.SH,20250414,11.279057087013376,11.32805385976322,339111.99,391579.367
600089.SH,20250411,11.32805385976322,11.455445468912805,345046.92,399158.379
600089.SH,20250410,11.455445468912805,11.406448696162965,536612.81,626948.141
600089.SH,20250409,11.406448696162965,11.318254505213252,511622.18,583569.095
