ts_code,trade_date,close,pre_close,vol,amount
002739.SZ,20260304,10.22,10.26,431027.07,439728.755
002739.SZ,20260303,10.26,10.61,755120.9,787463.915
002739.SZ,20260302,10.61,10.94,797524.72,849904.979
002739.SZ,20260227,10.94,10.920000000000002,569539.78,621625.794
002739.SZ,20260226,10.920000000000002,11.13,889318.15,974267.359
002739.SZ,20260225,11.13,11.24,1065676.29,1192006.833
002739.SZ,20260224,11.24,12.49,1486980.01,1682397.583
002739.SZ,20260213,12.49,12.2,1416011.83,1758355.406
002739.SZ,20260212,12.2,12.48,1314120.66,1604151.665
002739.SZ,20260211,12.48,13.87,2470415.82,3170342.15
002739.SZ,20260210,13.87,12.610000000000001,3046362.44,4049934.188
002739.SZ,20260209,12.610000000000001,12.56,1650368.89,2085276.625
002739.SZ,20260206,12.56,12.069999999999999,2249790.9,2801665.092
002739.SZ,20260205,12.069999999999999,11.74,1520912.0,1832389.919
002739.SZ,20260204,11.74,11.95,777829.18,913325.222
002739.SZ,20260203,11.95,11.76,809829.26,966565.598
002739.SZ,20260202,11.76,11.84,1369499.1,1646101.595
002739.SZ,20260130,11.84,11.63,1164979.3,1376507.888
002739.SZ,20260129,11.63,11.530000000000001,796750.52,927687.859
002739.SZ,20260128,11.530000000000001,11.71,632394.0,734973.391
002739.SZ,20260127,11.71,11.75,464296.21,541471.087
002739.SZ,20260126,11.75,11.62,686114.16,805504.574
002739.SZ,20260123,11.62,11.37,636432.3,736729.103
002739.SZ,20260122,11.37,11.31,457035.6,519538.415
002739.SZ,20260121,11.31,11.260000000000002,541133.34,611538.593
002739.SZ,20260120,11.260000000000002,11.36,475583.01,536797.537
002739.SZ,20260119,11.36,11.23,488835.92,555305.225
002739.SZ,20260116,11.23,11.5,723839.16,818222.623
002739.SZ,20260115,11.5,11.590000000000002,606730.89,699626.678
002739.SZ,20260114,11.590000000000002,11.63,996030.24,1161207.066
002739.SZ,20260113,11.63,11.590000000000002,1276422.57,1497030.771
002739.SZ,20260112,11.590000000000002,11.45,1011619.19,1172180.732
002739.SZ,20260109,11.45,11.389999999999999,555158.4,632557.386
002739.SZ,20260108,11.389999999999999,11.36,462983.14,526832.789
002739.SZ,20260107,11.36,11.41,406288.89,462613.416
002739.SZ,20260106,11.41,11.41,555577.84,635513.892
002739.SZ,20260105,11.41,11.320000000000002,521933.28,590882.3
002739.SZ,20251231,11.320000000000002,11.28,548927.0,618614.399
002739.SZ,20251230,11.28,11.03,622069.06,697089.345
002739.SZ,20251229,11.03,11.08,433927.28,479242.158
002739.SZ,20251226,11.08,11.12,382456.57,423655.953
002739.SZ,20251225,11.12,11.16,318109.22,353967.083
002739.SZ,20251224,11.16,11.14,257845.83,287640.138
002739.SZ,20251223,11.14,11.260000000000002,267547.11,299207.418
002739.SZ,20251222,11.260000000000002,11.64,520951.76,591963.065
002739.SZ,20251219,11.64,11.41,594015.61,681392.631
002739.SZ,20251218,11.41,11.31,364675.21,416520.305
002739.SZ,20251217,11.31,11.03,405035.51,451776.591
002739.SZ,20251216,11.03,11.31,477873.42,527818.764
002739.SZ,20251215,11.31,11.49,298223.0,339063.183
002739.SZ,20251212,11.49,11.36,460115.86,526290.72
002739.SZ,20251211,11.36,11.49,452264.67,517809.978
002739.SZ,20251210,11.49,11.18,728814.05,833725.372
002739.SZ,20251209,11.18,11.15,414079.99,465104.269
002739.SZ,20251208,11.15,11.18,394917.52,441574.493
002739.SZ,20251205,11.18,11.12,232593.07,258538.613
002739.SZ,20251204,11.12,11.15,301752.59,337324.402
002739.SZ,20251203,11.15,11.21,270471.53,302009.828
002739.SZ,20251202,11.21,11.42,421796.37,472779.937
002739.SZ,20251201,11.42,11.45,705340.23,815888.862
002739.SZ,20251128,11.45,11.21,335972.66,381809.387
002739.SZ,20251127,11.21,11.34,250404.26,282391.716
002739.SZ,20251126,11.34,11.47,298521.4,341178.885
002739.SZ,20251125,11.47,11.42,363074.6,419025.724
002739.SZ,20251124,11.42,11.059999999999999,405208.97,458228.998
002739.SZ,20251121,11.059999999999999,11.3,421216.0,470026.67
002739.SZ,20251120,11.3,11.49,287642.0,327647.024
002739.SZ,20251119,11.49,11.65,313955.73,362242.472
002739.SZ,20251118,11.65,11.76,375530.39,437374.311
002739.SZ,20251117,11.76,11.58,441324.01,510116.029
002739.SZ,20251114,11.58,11.68,256951.24,298694.236
002739.SZ,20251113,11.68,11.539999999999997,328366.39,382542.675
002739.SZ,20251112,11.539999999999997,11.61,343829.22,397842.636
002739.SZ,20251111,11.61,11.539999999999997,368835.52,426854.937
002739.SZ,20251110,11.539999999999997,11.44,441385.09,509882.45
002739.SZ,20251107,11.44,11.22,632840.73,724692.052
002739.SZ,20251106,11.22,11.34,311227.86,349922.744
002739.SZ,20251105,11.34,11.17,501847.28,568507.708
002739.SZ,20251104,11.17,11.190000000000001,330633.3,369811.869
002739.SZ,20251103,11.190000000000001,11.04,386057.64,429532.972
002739.SZ,20251031,11.04,10.85,499163.24,550610.542
002739.SZ,20251030,10.85,10.97,246207.59,268290.985
002739.SZ,20251029,10.97,10.88,283066.42,309133.341
002739.SZ,20251028,10.88,10.89,279874.5,304037.308
002739.SZ,20251027,10.89,10.96,254716.0,277864.982
002739.SZ,20251024,10.96,10.91,283922.47,310248.093
002739.SZ,20251023,10.91,10.83,277600.68,300862.064
002739.SZ,20251022,10.83,10.78,229550.52,248392.693
002739.SZ,20251021,10.78,10.75,211019.14,227428.384
002739.SZ,20251020,10.75,10.67,211203.01,226588.781
002739.SZ,20251017,10.67,10.920000000000002,388392.84,418277.715
002739.SZ,20251016,10.920000000000002,11.04,251889.56,276238.127
002739.SZ,20251015,11.04,10.920000000000002,283593.17,311165.416
002739.SZ,20251014,10.920000000000002,11.059999999999999,443810.73,489470.08
002739.SZ,20251013,11.059999999999999,11.320000000000002,518876.72,572511.245
002739.SZ,20251010,11.320000000000002,11.329999999999998,442918.67,501919.629
002739.SZ,20251009,11.329999999999998,12.31,1308997.56,1498488.005
002739.SZ,20250930,12.31,12.29,486080.71,599638.891
002739.SZ,20250929,12.29,12.21,564567.75,691116.708
002739.SZ,20250926,12.21,12.44,485387.74,595449.277
002739.SZ,20250925,12.44,12.2,1010942.32,1261313.962
002739.SZ,20250924,12.2,12.270000000000001,762985.44,933360.531
002739.SZ,20250923,12.270000000000001,12.330000000000002,905687.5,1103893.417
002739.SZ,20250922,12.330000000000002,12.82,1394086.28,1731143.061
002739.SZ,20250919,12.82,11.65,1400973.49,1740491.283
002739.SZ,20250918,11.65,12.02,636127.62,751618.793
002739.SZ,20250917,12.02,12.1,588101.0,699602.062
002739.SZ,20250916,12.1,12.32,649873.23,789670.177
002739.SZ,20250915,12.32,11.939999999999998,951410.58,1168423.373
002739.SZ,20250912,11.939999999999998,11.83,579654.31,689875.882
002739.SZ,20250911,11.83,11.86,420283.64,493491.621
002739.SZ,20250910,11.86,11.79,479471.42,569596.135
002739.SZ,20250909,11.79,11.85,512295.77,604996.382
002739.SZ,20250908,11.85,11.660000000000002,624808.5,735015.075
002739.SZ,20250905,11.660000000000002,11.15,653068.85,747475.662
002739.SZ,20250904,11.15,11.17,364863.99,407699.331
002739.SZ,20250903,11.17,11.29,375896.33,424059.481
002739.SZ,20250902,11.29,11.64,506583.84,575833.431
002739.SZ,20250901,11.64,11.720000000000002,368556.77,429126.168
002739.SZ,20250829,11.720000000000002,11.8,464644.39,547607.357
002739.SZ,20250828,11.8,11.63,612564.35,723329.117
002739.SZ,20250827,11.63,11.8,479112.96,564962.456
002739.SZ,20250826,11.8,11.660000000000002,485421.93,571075.71
002739.SZ,20250825,11.660000000000002,11.5,547326.8,634070.317
002739.SZ,20250822,11.5,11.42,325193.31,373023.749
002739.SZ,20250821,11.42,11.41,299918.5,342828.161
002739.SZ,20250820,11.41,11.37,295962.32,334865.522
002739.SZ,20250819,11.37,11.48,336215.69,383518.007
002739.SZ,20250818,11.48,11.3,573675.36,658822.504
002739.SZ,20250815,11.3,11.21,295114.32,331686.238
002739.SZ,20250814,11.21,11.35,411151.23,465914.036
002739.SZ,20250813,11.35,11.380000000000003,305925.54,347479.073
